,Year,PB
0,1980,0.009505710449175496
1,1981,0.010390872341319147
2,1982,0.011357514458925261
3,1983,0.012412953411070191
4,1984,0.013565127163752801
5,1985,0.014822640868304966
6,1986,0.01619481468660438
7,1987,0.01769173339634574
8,1988,0.01932429747441645
9,1989,0.021104275254603285
10,1990,0.02304435563529076
11,1991,0.02515820067132173
12,1992,0.02746049721965312
13,1993,0.0299670066188993
14,1994,0.03269461116670099
15,1995,0.03566135591503126
16,1996,0.038886484031835644
17,1997,0.04239046367876756
18,1998,0.04619500403180467
19,1999,0.050323057728913344
20,2000,0.054798806674065254
21,2001,0.05964762777054254
22,2002,0.06489603481337824
23,2003,0.07057159246046157
24,2004,0.07670279794914825
25,2005,0.08331892606082239
26,2006,0.09044983279644807
27,2007,0.09812571335421665
28,2008,0.10637681034338915
29,2009,0.11523306877711786
30,2010,0.12472373531284657
31,2011,0.13487690050004822
32,2012,0.1457189844914017
33,2013,0.15727416879994396
34,2014,0.16956377924359062
35,2015,0.18260562818103673
36,2016,0.1964133274413427
37,2018,0.21099558686865927
38,2019,0.22635551697701983
39,2020,0.24248995761889663
40,2021,0.25938885754861774
41,2022,0.27703473200557355
42,2023,0.29540222663490473
43,2024,0.3144578159003882
44,2025,0.3341596623684828
45,2026,0.3544576596827519
46,2027,0.3752936766560629
47,2028,0.39660201278956864
48,2029,0.4183100669591429
49,2030,0.44033921143878413
50,2031,0.4626058534514229
51,2032,0.485022656748307
52,2033,0.5074998870553687
53,2034,0.5299468382881763
54,2035,0.5522732918105852
55,2036,0.5743909590966999
56,2037,0.5962148591194814
57,2038,0.6176645855474582
58,2039,0.6386654250560849
59,2040,0.6591492962222514
60,2041,0.6790554878997005
61,2042,0.6983311859365945
62,2043,0.7169317868756241
63,2044,0.7348210062366961
64,2045,0.7519707966224648
65,2046,0.7683610968732792
66,2047,0.7839794376692314
67,2048,0.7988204313327336
68,2049,0.8128851742596084
69,2050,0.8261805896328196
70,2051,0.8387187361436386
71,2052,0.8505161056769429
72,2053,0.8615929296204482
73,2054,0.8719725099121717
74,2055,0.8816805873820982
